hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
650333,Luis Arraez,SF,SEA,2026-07-18T02:10:00Z,Warmup,1,Bryce Miller,682243,R,L,0.75,0.121,86.73,94.1338,0.3721,0.0844,0.3065,63.09,0.12,30.66,27.05,20.62,5.2,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
805811,Bryce Eldridge,SF,SEA,2026-07-18T02:10:00Z,Warmup,2,Bryce Miller,682243,R,L,16.25,0.1595,93.29,103.74,0.5058,0.2638,0.3706,73.04,27.95,43.17,36.07,58.72,5.6,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,,
669477,Casey Schmitt,SF,SEA,2026-07-18T02:10:00Z,Warmup,3,Bryce Miller,682243,R,R,11.38,0.2011,89.85,100.7802,0.4962,0.2143,0.3511,72.33,26.13,40.5,33.01,44.57,16.9,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
646240,Rafael Devers,SF,SEA,2026-07-18T02:10:00Z,Warmup,4,Bryce Miller,682243,R,L,12.99,0.2291,92.59,103.1559,0.4681,0.2322,0.339,71.74,20.99,33.91,33.25,52.25,23.8,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",EV profile; pitcher allows elevated contact,,
671218,Heliot Ramos,SF,SEA,2026-07-18T02:10:00Z,Warmup,5,Bryce Miller,682243,R,R,14.12,0.1783,92.29,103.3836,0.4786,0.2079,0.341,72.74,29.72,34.99,24.07,50.06,11.9,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 10.7 HR allowed",EV profile; pitcher allows elevated contact,,
808982,Jung Hoo Lee,SF,SEA,2026-07-18T02:10:00Z,Warmup,6,Bryce Miller,682243,R,L,2.72,0.1312,87.1,96.5104,0.3808,0.0947,0.314,68.37,2.91,39.3,21.96,29.41,5.9,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
642715,Willy Adames,SF,SEA,2026-07-18T02:10:00Z,Warmup,7,Bryce Miller,682243,R,R,9.94,0.1918,88.55,99.2485,0.4063,0.1837,0.3032,72.24,23.79,48.4,34.06,40.98,19.5,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
687551,Drew Gilbert,SF,SEA,2026-07-18T02:10:00Z,Warmup,8,Bryce Miller,682243,R,L,2.8,0.1439,85.69,97.2356,0.3339,0.0978,0.2868,70.52,10.51,38.11,18.08,32.72,3.7,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
701852,Drew Cavanaugh,SF,SEA,2026-07-18T02:10:00Z,Warmup,9,Bryce Miller,682243,R,L,8.3,0.0,86.9,97.4117,0.338,0.128,0.298,69.7,6.6,29.2,20.8,25.0,0.0,7.3,34.46,87.85,0.3622,0.147,30.53,10.7,10.7,10.7,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
641487,J.P. Crawford,SEA,SF,2026-07-18T02:10:00Z,Warmup,1,Landen Roupp,694738,R,L,6.37,0.1302,88.04,98.438,0.3783,0.1284,0.3297,71.38,19.16,35.0,20.51,35.68,10.6,5.33,30.69,87.07,0.3464,0.1148,22.24,8.2,8.2,8.2,T-Mobile Park,96,75,6,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 5.3% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
