rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,ATH,2026-09-27T01:40:00Z,Pre-Game,2,Jack Perkins,678022,R,68.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.8,38.9,68.4,95.5,80.0,60.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,1,Contact streak: 10/25 over last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 15.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.34,53.53,94.42,104.8262,0.6113,0.3028,0.428,76.1,61.66,40.88,35.96,30.5,0.2459,8.83,36.51,87.66,0.3748,0.1468,32.28,Out To CF,79,Sutter Health Park,
2,808959,Munetaka Murakami,CWS,COL,2026-09-26T23:10:00Z,Pre-Game,4,Jose Quintana,500779,L,65.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",77.8,49.2,43.1,94.9,50.0,79.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,20.2,56.5,93.9,104.4672,0.466,0.263,0.351,74.7,50.2,47.0,38.3,35.0,0.274,9.56,36.45,88.56,0.476,0.1972,31.19,L To R,62,Rate Field,
3,656941,Kyle Schwarber,PHI,TB,2026-09-26T23:15:00Z,Pre-Game,2,Griffin Jax,643377,R,62.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,41.5,46.3,100.0,80.0,3.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 12.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.16,52.6,92.97,104.1219,0.5166,0.277,0.3758,77.16,75.49,54.21,32.97,48.3,0.2873,8.98,41.02,88.99,0.3951,0.1499,23.09,In From CF,62,Citizens Bank Park,
4,695600,Carter Jensen,KC,CLE,2026-09-26T23:10:00Z,Pre-Game,1,Tanner Bibee,676440,R,61.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.7,42.9,46.2,93.2,80.0,85.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 28.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.64,48.57,92.53,103.0465,0.4762,0.2263,0.3518,74.1,39.01,41.7,31.68,19.8,0.2332,8.17,38.56,88.85,0.4074,0.1646,28.11,R To L,75,Kauffman Stadium,
5,660271,Shohei Ohtani,LAD,SF,2026-09-26T20:05:00Z,In Progress,2,Matt Wilkinson,683363,L,61.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",80.0,36.6,48.8,100.0,50.0,10.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 4.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.67,54.29,93.85,104.4868,0.5846,0.3008,0.4075,75.03,53.01,46.42,32.06,37.5,0.2707,6.5,42.9,89.1,0.382,0.155,32.5,Out To CF,63,Oracle Park,
6,621566,Matt Olson,ATL,MIA,2026-09-26T20:10:00Z,In Progress,3,Jack Ralston,667652,R,61.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",65.4,49.1,35.0,96.6,80.0,37.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,14.33,52.46,92.74,103.7177,0.5011,0.2531,0.3551,74.53,47.33,37.58,33.13,37.4,0.2414,11.6,39.5,87.3,0.411,0.204,30.2,None,72,loanDepot park,
7,608369,Corey Seager,TEX,MIN,2026-09-26T20:10:00Z,Warmup,3,Bailey Ober,641927,R,60.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.7,53.3,35.1,96.6,80.0,21.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,1,"Last 7 games: 4/29, 1 HR","platoon edge; pitcher baseline 10.0% barrel, 22.3 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.74,49.82,92.06,102.6015,0.5074,0.2462,0.365,71.8,15.23,41.2,30.64,19.6,0.2006,9.99,37.63,88.97,0.4522,0.2028,32.67,In From CF,62,Target Field,
8,695506,Jac Caglianone,KC,CLE,2026-09-26T23:10:00Z,Pre-Game,3,Tanner Bibee,676440,R,59.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.2,42.9,46.2,96.6,80.0,45.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,0,Contact streak: 10/23 over last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 28.4 HR allowed",EV profile; pitcher fly-ball pressure modest,12.84,50.73,92.06,104.6761,0.4786,0.2115,0.3455,77.12,73.29,44.35,22.12,18.2,0.1828,8.17,38.56,88.85,0.4074,0.1646,28.11,R To L,75,Kauffman Stadium,
9,665487,Fernando Tatis Jr.,SD,AZ,2026-09-27T00:40:00Z,Pre-Game,1,,,,58.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",58.3,41.2,48.6,93.2,60.0,79.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.26,53.27,93.09,104.4869,0.4985,0.2086,0.377,75.65,57.98,34.17,22.29,25.0,0.1808,,,,,,,L To R,79,Petco Park,
10,669257,Will Smith,LAD,SF,2026-09-26T20:05:00Z,In Progress,3,Matt Wilkinson,683363,L,58.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",51.4,36.6,48.8,96.6,78.0,100.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.5% barrel, 4.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.41,42.9,89.76,100.2636,0.5037,0.2263,0.3878,69.84,6.38,30.95,39.08,12.1,0.1779,6.5,42.9,89.1,0.382,0.155,32.5,Out To CF,63,Oracle Park,
