rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,805811,Bryce Eldridge,SF,COL,2026-07-11T02:15:00Z,Warmup,6,Tanner Gordon,685299,R,67.6,Tier 3,Watch List,"Strong Barrel, Platoon Edge",74.1,68.6,38.8,76.2,80.0,60.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.74,59.14,93.29,103.7735,0.5184,0.2715,0.3762,73.04,27.53,42.19,36.14,5.6,0.1637,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
2,646240,Rafael Devers,SF,COL,2026-07-11T02:15:00Z,Warmup,4,Tanner Gordon,685299,R,66.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.6,68.6,38.8,94.9,80.0,83.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",EV profile; pitcher allows elevated contact,12.92,51.83,92.38,102.9604,0.4681,0.2329,0.3383,71.67,20.78,33.42,33.11,23.1,0.2277,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
3,671218,Heliot Ramos,SF,COL,2026-07-11T02:15:00Z,Warmup,1,Tanner Gordon,685299,R,61.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",55.1,68.6,38.8,93.2,50.0,67.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.5% barrel, 12.5 HR allowed",EV profile; pitcher allows elevated contact,13.91,49.22,92.08,103.3276,0.4695,0.2023,0.3375,72.67,29.37,35.69,24.21,11.9,0.1867,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
4,696100,Hunter Goodman,COL,SF,2026-07-11T02:15:00Z,Warmup,4,Robbie Ray,592662,L,60.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.8,51.1,38.8,94.9,78.0,54.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.56,45.92,91.01,102.8018,0.4688,0.2322,0.3289,75.03,50.82,49.12,31.5,28.2,0.2756,9.46,39.66,89.6,0.4151,0.1842,36.18,Varies,58,Oracle Park,
5,669477,Casey Schmitt,SF,COL,2026-07-11T02:15:00Z,Warmup,3,Tanner Gordon,685299,R,59.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",49.3,68.6,38.8,96.6,50.0,60.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.5% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.45,44.15,89.71,100.7661,0.4948,0.2129,0.3504,72.19,25.57,40.71,32.87,16.2,0.2004,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
6,642715,Willy Adames,SF,COL,2026-07-11T02:15:00Z,Warmup,5,Tanner Gordon,685299,R,54.0,Longshot,Watch List,Strong Barrel,41.0,68.6,38.8,86.4,50.0,31.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 12.5% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.22,42.03,88.55,99.4181,0.407,0.1865,0.3025,72.17,22.81,47.42,34.55,19.5,0.1967,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
7,691720,Kyle Karros,COL,SF,2026-07-11T02:15:00Z,Warmup,2,Robbie Ray,592662,L,51.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",26.2,51.1,38.8,100.0,78.0,64.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.25,41.12,89.16,99.8206,0.3642,0.1229,0.3161,70.08,5.93,39.22,23.43,5.9,0.1371,9.46,39.66,89.6,0.4151,0.1842,36.18,Varies,58,Oracle Park,
8,666160,Mickey Moniak,COL,SF,2026-07-11T02:15:00Z,Warmup,8,Robbie Ray,592662,L,50.6,Longshot,Watch List,Strong Barrel,54.5,51.1,38.8,52.4,50.0,52.8,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,1,Contact streak: 7/20 over last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 17.1 HR allowed",fly-ball profile; pitcher allows elevated contact,13.31,43.55,89.7,100.6096,0.4669,0.2301,0.3216,74.22,43.42,48.9,38.52,17.7,0.2949,9.46,39.66,89.6,0.4151,0.1842,36.18,Varies,58,Oracle Park,
9,694249,Cole Carrigg,COL,SF,2026-07-11T02:15:00Z,Warmup,3,Robbie Ray,592662,L,50.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",29.7,49.3,38.8,96.6,75.0,54.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"switch hitter; pitcher baseline 9.5% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.1,31.1,86.1,98.3104,0.427,0.174,0.337,73.7,40.7,47.3,29.7,4.0,0.261,9.46,39.66,89.6,0.4151,0.1842,36.18,Varies,58,Oracle Park,
10,650333,Luis Arraez,SF,COL,2026-07-11T02:15:00Z,Warmup,2,Tanner Gordon,685299,R,47.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",7.3,68.6,38.8,100.0,80.0,30.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.75,20.83,86.73,94.186,0.3721,0.0851,0.3051,63.09,0.12,31.08,27.4,5.2,0.1238,12.48,44.28,91.15,0.4999,0.2293,33.11,Varies,58,Oracle Park,
